AR                 0   136.500     3.330     0.000     0.000     0.000
AS                 0  1045.500     4.580     0.000     0.000     0.000 ! mec
ASH                1   199.300     4.215     0.000     0.000     1.000 ! mec
ASH2               2   229.600     4.180     0.000     0.000     1.000 ! mec 
C                  0    71.400     3.298     0.000     0.000     0.000 ! *
C2                 1    97.530     3.621     0.000     1.760     4.000
C2O                1   232.400     3.828     0.000     0.000     1.000 ! *
CN2                1   232.400     3.828     0.000     0.000     1.000 ! OIS
C2H                1   209.000     4.100     0.000     0.000     2.500
C2H2               1   209.000     4.100     0.000     0.000     2.500
C2H2OH             2   224.700     4.162     0.000     0.000     1.000 ! *
C2H3               2   209.000     4.100     0.000     0.000     1.000 ! *
C2H4               2   280.800     3.971     0.000     0.000     1.500
C2H5               2   252.300     4.302     0.000     0.000     1.500
C2H6               2   252.300     4.302     0.000     0.000     1.500
C2N                1   232.400     3.828     0.000     0.000     1.000 ! OIS
C2N2               1   349.000     4.361     0.000     0.000     1.000 ! OIS
C3H2               2   209.000     4.100     0.000     0.000     1.000 ! *
C3H2(S)            2   209.000     4.100     0.000     0.000     1.000 ! *
C3H3               1   252.000     4.760     0.000     0.000     1.000
C4H3               1   357.000     5.180     0.000     0.000     1.000
C3H4               1   252.000     4.760     0.000     0.000     1.000
C3H4P              1   252.000     4.760     0.000     0.000     1.000 ! JAM
C3H6               2   266.800     4.982     0.000     0.000     1.000
C3H7               2   266.800     4.982     0.000     0.000     1.000
C4H6               2   357.000     5.180     0.000     0.000     1.000
I*C3H7             2   266.800     4.982     0.000     0.000     1.000
N*C3H7             2   266.800     4.982     0.000     0.000     1.000
C3H8               2   266.800     4.982     0.000     0.000     1.000
C4H                1   357.000     5.180     0.000     0.000     1.000
C4H2               1   357.000     5.180     0.000     0.000     1.000
C4H2OH             2   224.700     4.162     0.000     0.000     1.000 ! *
C4H8               2   357.000     5.176     0.000     0.000     1.000
C4H9               2   357.000     5.176     0.000     0.000     1.000
S*C4H9             2   357.000     5.176     0.000     0.000     1.000
C4H9               2   357.000     5.176     0.000     0.000     1.000
I*C4H9             2   357.000     5.176     0.000     0.000     1.000
C5H2               1   357.000     5.180     0.000     0.000     1.000
C5H3               1   357.000     5.180     0.000     0.000     1.000
C5H5               1   357.000     5.180     0.000     0.000     1.000
C6H2               1   357.000     5.180     0.000     0.000     1.000
C6H4               2   412.300     5.349     0.000     0.000     1.000 ! JAM
C6H5               2   412.300     5.349     0.000     0.000     1.000 ! JAM
C6H5(L)            2   412.300     5.349     0.000     0.000     1.000 ! JAM
C6H5O              2   450.000     5.500     0.000     0.000     1.000 ! JAM
C5H5OH             2   450.000     5.500     0.000     0.000     1.000 ! JAM
C6H5C2H            2   412.300     5.349     0.000     0.000     1.000
C6H6               2   412.300     5.349     0.000     0.000     1.000 ! SVE
C6H7               2   412.300     5.349     0.000     0.000     1.000 ! JAM
CH                 1    80.000     2.750     0.000     0.000     0.000
CH2                1   144.000     3.800     0.000     0.000     0.000
CH2(S)             1   144.000     3.800     0.000     0.000     0.000
CH2CHCCH           2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH2CHCCH2          2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH2CHCH2           2   260.000     4.850     0.000     0.000     1.000 ! JAM
CH2CHCHCH          2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH2CHCHCH2         2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH2CO              2   436.000     3.970     0.000     0.000     2.000
CH2O               2   498.000     3.590     0.000     0.000     2.000
CH2OH              2   417.000     3.690     1.700     0.000     2.000
CH2HCO             2   436.000     3.970     0.000     0.000     2.000
CH3                1   144.000     3.800     0.000     0.000     0.000
CH3CC              2   252.000     4.760     0.000     0.000     1.000 ! JAM
CH3CCCH2           2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH3CCCH3           2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH3CCH2            2   260.000     4.850     0.000     0.000     1.000 ! JAM
CH3CHCH            2   260.000     4.850     0.000     0.000     1.000 ! JAM
CH3CH2CCH          2   357.000     5.180     0.000     0.000     1.000 ! JAM
CH3CHO             2   436.000     3.970     0.000     0.000     2.000
CH3CO              2   436.000     3.970     0.000     0.000     2.000
CH3O               2   417.000     3.690     1.700     0.000     2.000
CH3OH              2   481.800     3.626     0.000     0.000     1.000 ! SVE
CH4                2   141.400     3.746     0.000     2.600    13.000
CH4O               2   417.000     3.690     1.700     0.000     2.000
CN                 1    75.000     3.856     0.000     0.000     1.000 ! OIS
CNC                1   232.400     3.828     0.000     0.000     1.000 ! OIS
CNN                1   232.400     3.828     0.000     0.000     1.000 ! OIS
CO                 1    98.100     3.650     0.000     1.950     1.800
CO2                1   244.000     3.763     0.000     2.650     2.100
F                  0    80.000     2.750     0.000     0.000     0.000
F2                 1   125.700     3.301     0.000     1.600     3.800
H                  0   145.000     2.050     0.000     0.000     0.000
GAH                1   335.500     4.240     0.000     0.000     1.000 ! mec
H2C4O              2   357.000     5.180     0.000     0.000     1.000 ! JAM
H2                 1    38.000     2.920     0.000     0.790   280.000
H2CCC              2   209.000     4.100     0.000     0.000     1.000 ! *
H2CCC(S)           2   209.000     4.100     0.000     0.000     1.000 ! *
H2CCCH             2   252.000     4.760     0.000     0.000     1.000 ! JAM
H2CCCCH            2   357.000     5.180     0.000     0.000     1.000 ! JAM
H2CCCCH2           2   357.000     5.180     0.000     0.000     1.000 ! JAM
H2CCCCCH           1   357.000     5.180     0.000     0.000     1.000
H2CN               1   569.000     3.630     0.000     0.000     1.000 ! os/jm
H2NO               2   116.700     3.492     0.000     0.000     1.000 ! JAM
H2O                2   572.400     2.605     1.844     0.000     4.000
H2O2               2   107.400     3.458     0.000     0.000     3.800
H2S                2   301.000     3.600     0.000     0.000     1.000 ! OIS
HC2N2              1   349.000     4.361     0.000     0.000     1.000 ! OIS
HCCHCCH            2   357.000     5.180     0.000     0.000     1.000 ! JAM
HCCO               2   150.000     2.500     0.000     0.000     1.000 ! *
HCCOH              2   436.000     3.970     0.000     0.000     2.000
HCCCHCCH           1   357.000     5.180     0.000     0.000     1.000
HCN                1   569.000     3.630     0.000     0.000     1.000 ! OIS
HCO                2   498.000     3.590     0.000     0.000     0.000
HCO+               1   498.000     3.590     0.000     0.000     0.000
HE                 0    10.200     2.576     0.000     0.000     0.000 ! *
HF                 1   330.000     3.148     1.920     2.460     1.000 ! sv/mec
HF0                1   352.000     2.490     1.730     0.000     5.000
HF1                1   352.000     2.490     1.730     0.000     5.000
HF2                1   352.000     2.490     1.730     0.000     5.000
HF3                1   352.000     2.490     1.730     0.000     5.000
HF4                1   352.000     2.490     1.730     0.000     5.000
HF5                1   352.000     2.490     1.730     0.000     5.000
HF6                1   352.000     2.490     1.730     0.000     5.000
HF7                1   352.000     2.490     1.730     0.000     5.000
HF8                1   352.000     2.490     1.730     0.000     5.000
HCNO               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HOCN               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HNCO               2   232.400     3.828     0.000     0.000     1.000 ! OIS
HNNO               2   232.400     3.828     0.000     0.000     1.000 ! *
HNO                2   116.700     3.492     0.000     0.000     1.000 ! *
HNOH               2   116.700     3.492     0.000     0.000     1.000 ! JAM
HO2                2   107.400     3.458     0.000     0.000     1.000 ! *
HSO2               2   252.000     4.290     0.000     0.000     1.000 ! OIS
N                  0    71.400     3.298     0.000     0.000     0.000 ! *
N2                 1    97.530     3.621     0.000     1.760     4.000
N2H2               2    71.400     3.798     0.000     0.000     1.000 ! *
N2H3               2   200.000     3.900     0.000     0.000     1.000 ! *
N2H4               2   205.000     4.230     0.000     4.260     1.500
N2O                1   232.400     3.828     0.000     0.000     1.000 ! *
NCN                1   232.400     3.828     0.000     0.000     1.000 ! OIS
NCO                1   232.400     3.828     0.000     0.000     1.000 ! OIS
NH                 1    80.000     2.650     0.000     0.000     4.000
NH2                2    80.000     2.650     0.000     2.260     4.000
NH3                2   481.000     2.920     1.470     0.000    10.000
NNH                2    71.400     3.798     0.000     0.000     1.000 ! *
NO                 1    97.530     3.621     0.000     1.760     4.000
NCNO               2   232.400     3.828     0.000     0.000     1.000 ! OIS
NO2                2   200.000     3.500     0.000     0.000     1.000 ! *
O                  0    80.000     2.750     0.000     0.000     0.000
O2                 1   107.400     3.458     0.000     1.600     3.800
O3                 2   180.000     4.100     0.000     0.000     2.000
OH                 1    80.000     2.750     0.000     0.000     0.000
S                  0   847.000     3.839     0.000     0.000     0.000 ! OIS
S2                 1   847.000     3.900     0.000     0.000     1.000 ! OIS
SH                 1   847.000     3.900     0.000     0.000     1.000 ! OIS
SO                 1   301.000     3.993     0.000     0.000     1.000 ! OIS
SO2                2   252.000     4.290     0.000     0.000     1.000 ! OIS
SO3                2   378.400     4.175     0.000     0.000     1.000 ! OIS
SIH4               2   207.6       4.084     0.000     0.000     1.000 ! mec
SIH3               2   170.3       3.943     0.000     0.000     1.000 ! mec
SIH2               2   133.1       3.803     0.000     0.000     1.000 ! mec
SIH                1    95.8       3.662     0.000     0.000     1.000 ! mec
SI                 0  3036.        2.910     0.000     0.000     0.000 ! mec
SI2H6              2   301.3       4.828     0.000     0.000     1.000 ! mec
SI2H5              2   306.9       4.717     0.000     0.000     1.000 ! mec
SI2H4              2   312.6       4.601     0.000     0.000     1.000 ! mec
SI2H3              2   318.2       4.494     0.000     0.000     1.000 ! mec
SI2H2              2   323.8       4.383     0.000     0.000     1.000 ! mec
SI2                1  3036.        3.280     0.000     0.000     1.000 ! mec
SI3                2  3036.        3.550     0.000     0.000     1.000 ! mec
SIF3               2   309.6       4.359     0.000     0.000     1.000 ! mec
SIF3NH2            2   231.0       4.975     0.000     0.000     1.000 ! mec
SIF4               2   171.9       4.880     0.000     0.000     1.000 ! sve
SIHF3              2   180.8       4.681     0.000     0.000     1.000 ! mec
H2SISIH2           2   312.6       4.601     0.000     0.000     1.000 ! mec
H3SISIH            2   312.6       4.601     0.000     0.000     1.000 ! mec
SI3H8              2   331.2       5.562     0.000     0.000     1.000 ! mec
ASH3               2   259.8       4.145     0.000     0.000     1.000 ! mec
AS2                1   1045.5      5.510     0.000     0.000     1.000 ! mec
GAME3              2   378.2       5.52      0.000     0.000     1.000 ! mec
GAME2              2   675.8       5.22      0.000     0.000     1.000 ! mec
GAME               2   972.7       4.92      0.000     0.000     1.000 ! mec
GA                 0  2961.8       4.62      0.000     0.000     0.000 ! mec
K                  0   850.        4.25      0.000     0.000     1.000 ! singh
KOH                2  1213.        4.52      0.000     0.000     1.000 ! singh
KO2                2  1213.        4.69      0.000     0.000     1.000 ! singh
KH                 1    93.3       3.542     0.000     0.000     1.000 ! singh
K+                 0   850.        4.25      0.000     0.000     1.000 ! singh
E                  0   850.        425.      0.000     0.000     1.000 ! singh
KCL                1  1989.        4.186     0.000     0.000     1.000 ! singh
CL                 0   130.8       3.613     0.000     0.000     1.000 ! singh
CL-                0   130.8       3.613     0.000     0.000     1.000 ! singh
HCL                1   344.7       3.339     1.084     0.000     1.000 ! singh
KO                 1   383.0       3.812     0.000     0.000     1.000 ! singh
C2H3O              2   436.000     3.970     0.000     0.000     2.000 ! = CH3CO
aC3H4              1   252.000     4.760     0.000     0.000     1.000 ! aka C3H4
pC3H4              1   252.000     4.760     0.000     0.000     1.000 ! aka C3H4P
nC4H3              1   357.000     5.180     0.000     0.000     1.000
iC4H3              1   357.000     5.180     0.000     0.000     1.000
C4H4               2   357.000     5.180     0.000     0.000     1.000 ! JAM
nC4H5              2   357.000     5.180     0.000     0.000     1.000 ! JAM
iC4H5              2   357.000     5.180     0.000     0.000     1.000 ! JAM
C4H612             2   357.000     5.180     0.000     0.000     1.000
C4H613             2   357.000     5.180     0.000     0.000     1.000
iC3H7              2   266.800     4.982     0.000     0.000     1.000
nC3H7              2   266.800     4.982     0.000     0.000     1.000
C3H5               2   266.800     4.982     0.000     0.000     1.000
C6H5OH             2   450.000     5.500     0.000     0.000     1.000 ! copied from C5H5OH misprint?

